"Application Support
                        Edelweiss Financial Services                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Content Management
                        Saregama India Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000-10000 /monthApply By"
"Content Writing
                        Great Learning                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Graphic Design
                        Hungama Digital Media Entertainment Private Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Business Development (Sales)
                        Unacademy                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             16000 /monthApply By"
"Product Merchandise
                        Bagzone Lifestyles Private Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        WWF-India                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Content Onboarding
                        Justdial Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             16000 /month +  IncentivesApply By"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-12000 /monthApply By"
"Business Development (Sales)
                        HCL Technologies                    BhopalNagpur","Bhopal, Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             3500-6000 /monthApply By"
"Digital Marketing
                        Sudarshan TV Channel Private Limited                    Noida","Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000-4000 /monthApply By"
"Business Development (Sales)
                        Aditya Birla Capital                    Kolkata","Kolkata                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000-4000 /monthApply By"
"Content Writing
                        Mahindra First Choice Wheels Limited                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7500 /monthApply By"
"ORM/Online PR Management
                        Mahindra First Choice Wheels Limited                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Media & Public Relations (PR)
                        Sugar Cosmetics                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7500 /monthApply By"
"Business Development (Sales)
                        Fashion TV India                    Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By"
"Marketing
                        WWF-India                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7000 /monthApply By"
"Retail Management
                        ZARA (Inditex Trent Retail Private Limited)                    Surat","Surat                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By"
"Campus Ambassador
                        NASSCOM                    Noida","Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Human Resources (HR)
                        BookMyShow                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7500 /monthApply By"
"Marketing
                        Think & Learn Private Limited (BYJU'S)                    Gandhidham","Gandhidham                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Marketing
                        Think & Learn Private Limited (BYJU'S)                    SuratVapiNavsariValsad","Surat, Vapi, Navsari, Valsad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000-25000 /monthApply By"
"Business Development (Sales)
                        Decathlon Sports India Private Limited                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
